,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532
Retreat,,,,,,,,,,,,,,,,,
Heathfield,05:12,05:52,06:27,06:47,07:32,08:12,09:02,09:22,10:02,11:44,12:44,15:07,16:12,16:27,17:27,18:02,18:47
Southfield,05:17,05:57,06:32,06:52,07:37,08:17,09:07,09:27,10:07,11:49,12:49,15:12,16:17,16:32,17:32,18:07,18:52
Ottery,05:20,06:00,06:35,06:55,07:40,08:20,09:10,09:30,10:10,11:52,12:52,15:15,16:20,16:35,17:35,18:10,18:55
Wetton,05:23,06:03,06:38,06:58,07:43,08:23,09:13,09:33,10:13,11:55,12:55,15:18,16:23,16:38,17:38,18:13,18:58
Lansdowne,05:26,06:06,06:41,07:01,07:46,08:26,09:16,09:36,10:16,11:58,12:58,15:21,16:26,16:41,17:41,18:16,19:01
Crawford,05:28,06:08,06:43,07:03,07:48,08:28,09:18,09:38,10:18,12:00,13:00,15:23,16:28,16:43,17:43,18:18,19:03
Athlone,05:31,06:11,06:46,07:06,07:51,08:31,09:21,09:41,10:21,12:03,13:03,15:26,16:31,16:46,17:46,18:21,19:06
Hazendal,05:35,06:15,06:50,07:10,07:55,08:35,09:25,09:45,10:25,12:07,13:07,15:30,16:35,16:50,17:50,18:25,19:10
Pinelands,05:39,06:19,06:54,07:14,07:59,08:39,09:29,09:49,10:29,12:11,13:11,15:34,16:39,16:54,17:54,18:29,19:14
Ndabeni,05:42,06:22,06:57,07:17,08:02,08:42,09:32,09:52,10:32,12:14,13:14,15:37,16:42,16:57,17:57,18:32,19:17
Maitland,05:46,06:26,07:01,07:21,08:06,08:46,09:36,09:56,10:36,12:18,13:18,15:41,16:46,17:01,18:01,18:36,19:21
Koeberg Rd,,,,,,,,,,,,,,,,,
Salt River,05:55,06:35,07:10,07:30,08:15,08:55,09:45,10:05,10:45,12:27,13:27,15:50,16:55,17:10,18:10,18:45,19:30
Woodstock,06:03,06:43,07:18,07:38,08:23,09:03,09:53,10:13,10:53,12:35,13:35,15:58,17:03,17:18,18:18,18:53,19:38
Cape Town,06:10,06:50,07:25,07:45,08:30,09:10,10:00,10:20,11:00,12:42,13:42,16:05,17:10,17:25,18:25,19:00,19:45
