,500,502,504,506,508,510,512
Retreat,,,,,,,
Heathfield,05:12,06:24,07:42,08:42,10:02,11:12,12:44
Southfield,05:17,06:29,07:47,08:47,10:07,11:17,12:49
Ottery,05:20,06:32,07:50,08:50,10:10,11:20,12:52
Wetton,05:23,06:35,07:53,08:53,10:13,11:23,12:55
Lansdowne,05:26,06:38,07:56,08:56,10:16,11:26,12:58
Crawford,05:28,06:40,07:58,08:58,10:18,11:28,13:00
Athlone,05:31,06:43,08:01,09:01,10:21,11:31,13:03
Hazendal,05:35,06:47,08:05,09:05,10:25,11:35,13:07
Pinelands,05:39,06:51,08:09,09:09,10:29,11:39,13:11
Ndabeni,05:42,06:54,08:12,09:12,10:32,11:42,13:14
Maitland,05:46,06:58,08:16,09:16,10:36,11:46,13:18
Koeberg Rd,05:52,07:04,08:22,09:22,10:42,11:52,13:24
Salt River,06:00,07:12,08:30,09:30,10:50,12:00,13:32
Woodstock,06:07,07:19,08:37,09:37,10:57,12:07,13:39
Cape Town,06:10,07:22,08:40,09:40,11:00,12:10,13:42
