,9500,9502,9504,9506,9508,9400,9402,9404,9406,9408,9900,9902,9904,9906,9908,9910,9912,9914,9916,9918,9002,9004,9006,9008,9010
Bellville,,,,,,,,,,,,,,,,,,,,,,,,,
Sarepta,,,,,,,,,,,,,,,,,,,,,06:01,08:06,10:51,15:26,17:26
Pentech,,,,,,,,,,,,,,,,,,,,,06:07,08:12,10:57,15:32,17:32
Unibell,,,,,,,,,,,,,,,,,,,,,06:12,08:17,11:02,15:37,17:37
Belhar,,,,,,,,,,,,,,,,,,,,,06:18,08:23,11:08,15:43,17:43
Lavistown,,,,,,,,,,,,,,,,,,,,,06:24,08:29,11:14,15:49,17:49
Nolungile,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalay,,,,,,,,,,,04:44,06:14,07:44,09:24,10:59,12:34,14:04,15:34,17:09,18:44,,,,,
Stock Road,,,,,,,,,,,04:49,06:19,07:49,09:29,11:04,12:39,14:09,15:39,17:14,18:49,,,,,
Philippi,,,,,,,,,,,04:54,06:24,07:54,09:34,11:09,12:44,14:14,15:44,17:19,18:54,,,,,
Nyanga,,,,,,,,,,,05:00,06:30,08:00,09:40,11:15,12:50,14:20,15:50,17:25,19:00,,,,,
Langa,,,,,,05:26,07:11,08:51,15:51,17:51,05:21,06:51,08:21,10:01,11:36,13:11,14:41,16:11,17:46,19:21,06:31,08:36,11:21,15:56,17:56
Mutual,,,,,,,,,,,05:28,06:58,08:28,10:08,11:43,13:18,14:48,16:18,17:53,19:28,06:38,08:43,11:28,16:03,18:03
Ysterplaat,,,,,,,,,,,05:38,07:08,08:38,10:18,11:53,13:28,14:58,16:28,18:03,19:38,,,,,
Esplanade,,,,,,,,,,,05:47,07:17,08:47,10:27,12:02,13:37,15:07,16:37,18:12,19:47,,,,,
Pinelands,05:54,07:44,09:09,16:29,18:14,05:35,07:20,09:00,16:00,18:00,,,,,,,,,,,,,,,
Ndabeni,05:57,07:47,09:12,16:32,18:17,05:38,07:23,09:03,16:03,18:03,,,,,,,,,,,,,,,
Maitland,06:01,07:51,09:16,16:36,18:21,05:42,07:27,09:07,16:07,18:07,,,,,,,,,,,,,,,
Koeberg Road,06:04,07:54,09:19,16:39,18:24,,,,,,,,,,,,,,,,,,,,
Salt River,06:07,07:57,09:22,16:42,18:27,,,,,,,,,,,,,,,,,,,,
Woodstock,06:12,08:02,09:27,16:47,18:32,,,,,,,,,,,,,,,,,,,,
Cape Town,06:15,08:05,09:30,16:50,18:35,,,,,,05:52,07:22,08:52,10:32,12:07,13:42,15:12,16:42,18:17,19:52,,,,,
