,9501,9503,9505,9507,9901,9903,9905,9907,9909,9911,9913,9915,9917,9919,9401,9403,9405,9407,9409,9001,9003,9005,9007,9009
Cape Town,,,,,,,,,,,,,,,,,,,,,,,,
Woodstock,,,,,,,,,,,,,,,,,,,,,,,,
Salt River,06:48,08:28,15:38,17:08,,,,,,,,,,,,,,,,,,,,
Koeberg Road,06:51,08:31,15:41,17:11,,,,,,,,,,,,,,,,,,,,
Maitland,06:54,08:34,15:44,17:14,,,,,,,,,,,,,,,,,,,,
Ndabeni,06:58,08:38,15:48,17:18,,,,,,,,,,,06:04,07:44,09:24,16:44,18:34,,,,,
Pinelands,07:01,08:41,15:51,17:21,,,,,,,,,,,06:07,07:47,09:27,16:47,18:37,,,,,
Esplanade,,,,,04:53,06:20,07:50,09:35,11:10,12:40,14:10,15:45,17:15,18:53,,,,,,,,,,
Ysterplaat,,,,,05:02,06:29,07:59,09:44,11:19,12:49,14:19,15:54,17:24,19:02,,,,,,,,,,
Mutual,,,,,05:12,06:39,08:09,09:54,11:29,12:59,14:29,16:04,17:34,19:12,,,,,,,,,,
Langa,07:10,08:50,16:00,17:30,05:19,06:46,08:16,10:01,11:36,13:06,14:36,16:11,17:41,19:19,06:16,07:56,09:36,16:56,18:46,06:57,09:02,11:47,16:27,18:22
Nyanga,,,,,05:40,07:07,08:37,10:22,11:57,13:27,14:57,16:32,18:02,19:40,06:37,08:17,09:57,17:17,19:07,,,,,
Philippi,,,,,05:46,07:13,08:43,10:28,12:03,13:33,15:03,16:38,18:08,19:46,,,,,,,,,,
Stock Road,,,,,05:51,07:18,08:48,10:33,12:08,13:38,15:08,16:43,18:13,19:51,,,,,,,,,,
Mandalay,,,,,05:56,07:23,08:53,10:38,12:13,13:43,15:13,16:48,18:18,19:56,,,,,,,,,,
Nolungile,,,,,06:00,07:27,08:57,10:42,12:17,13:47,15:17,16:52,18:22,20:00,,,,,,,,,,
Lavistown,,,,,,,,,,,,,,,,,,,,07:07,09:12,11:57,16:37,18:32
Belhar,,,,,,,,,,,,,,,,,,,,07:13,09:18,12:03,16:43,18:38
Unibell,,,,,,,,,,,,,,,,,,,,07:18,09:23,12:08,16:48,18:43
Pentech,,,,,,,,,,,,,,,,,,,,07:23,09:28,12:13,16:53,18:48
Sarepta,,,,,,,,,,,,,,,,,,,,07:27,09:32,12:17,16:57,18:52
Bellville,,,,,,,,,,,,,,,,,,,,07:33,09:38,12:23,17:03,18:58
