,9500,9502,9504,9506,9508,9900,9902,9904,9906,9908,9910,9912
Bellville,,,,,,,,,,,,
Sarepta,,,,,,,,,,,,
Pentech,,,,,,,,,,,,
Unibell,,,,,,,,,,,,
Belhar,,,,,,,,,,,,
Lavistown,,,,,,,,,,,,
Nolungile,,,,,,,,,,,,
Mandalay,,,,,,,,,,,,
Stock Road,,,,,,04:49,06:19,07:39,09:29,11:19,13:04,14:44
Philippi,,,,,,,,,,,,
Nyanga,,,,,,05:00,06:30,07:50,09:40,11:30,13:15,14:55
Langa,,,,,,05:21,06:51,08:11,10:01,11:51,13:36,15:16
Mutual,,,,,,05:28,06:58,08:18,10:08,11:58,13:43,15:23
Ysterplaat,,,,,,05:38,07:08,08:28,10:18,12:08,13:53,15:33
Esplanade,,,,,,05:47,07:17,08:37,10:27,12:17,14:02,15:42
Pinelands,06:09,07:29,08:49,12:09,13:54,,,,,,,
Ndabeni,06:12,07:32,08:52,12:12,13:57,,,,,,,
Maitland,06:16,07:36,08:56,12:16,14:01,,,,,,,
Koeberg Road,06:19,07:39,08:59,12:19,14:04,,,,,,,
Salt River,06:22,07:42,09:02,12:22,14:07,,,,,,,
Woodstock,06:27,07:47,09:07,12:27,14:12,,,,,,,
Cape Town,06:30,07:50,09:10,12:30,14:15,05:52,07:22,08:42,10:32,12:22,14:07,15:47
