,2500,2300,2502,2302,2504,2304,2506,2306,2632,2800,2802,2804,2806,3500,3502,3504,3506,3508
Wellington,,,,,,,,,,,,,,,,,,
Mbekweni,,,,,,,,,,,,,,05:03,07:03,09:18,11:29,15:23
Dal Josafat,,,,,,,,,,,,,,05:12,07:12,09:27,11:38,15:32
Huguenot,,,,,,,,,,,,,,05:18,07:18,09:33,11:44,15:38
Paarl,,,,,,,,,,,,,,05:29,07:29,09:44,11:55,15:49
Klapmuts,,,,,,,,,,,,,,05:44,07:44,09:59,12:10,16:04
Muldersvlei,,,,,,,,,,,,,,05:59,07:59,10:14,12:25,16:19
Kraaifontein,,,,,,,,,,,,,,06:11,08:11,10:26,12:37,16:31
Eikenfontein,05:30,,07:15,,09:15,,11:15,,06:42,,,,,06:16,08:16,10:31,12:42,16:36
Brackenfell,05:36,,07:21,,09:21,,11:21,,06:48,,,,,06:22,08:22,10:37,12:48,16:42
Stikland,05:43,,07:28,,09:28,,11:28,,06:55,,,,,06:29,08:29,10:44,12:55,16:49
Stellenbosch,,,,,,,,,,,,,,,,,,
Vlottenburg,,,,,,,,,,,,,,,,,,
Lynedoch,,,,,,,,,,,,,,,,,,
Strand,,,,,,,,,,,,,,,,,,
Van Der Stel,,,,,,,,,,,,,,,,,,
Somerset West,,,,,,,,,,,,,,,,,,
Eerste River,,,,,,,,,,,,,,,,,,
Meltonrose,,06:18,,08:18,,10:16,,12:16,,,,,,,,,,
Blackheath,,06:24,,08:24,,10:22,,12:22,,,,,,,,,,
Kuils River,,06:34,,08:34,,10:32,,12:32,,,,,,,,,,
Bellville,05:51,06:48,07:36,08:48,09:36,10:46,11:36,12:46,07:03,,,,,,,,,
Tygerberg,05:56,06:53,07:41,08:53,09:41,10:51,11:41,12:51,,,,,,,,,,
Parow,05:57,06:54,07:42,08:54,09:42,10:52,11:42,12:52,,,,,,,,,,
Elsies River,06:03,07:00,07:48,09:00,09:48,10:58,11:48,12:58,,,,,,,,,,
Vasco,06:07,07:04,07:52,09:04,09:52,11:02,11:52,13:02,,,,,,,,,,
Goodwood,06:09,07:06,07:54,09:06,09:54,11:04,11:54,13:04,,,,,,,,,,
Thornton,06:15,07:12,08:00,09:12,10:00,11:10,12:00,13:10,,,,,,,,,,
Mutual,06:22,07:19,08:07,09:19,10:07,11:17,12:07,13:17,,,,,,,,,,
Maitland,06:25,07:22,08:10,09:22,10:10,11:20,12:10,13:20,,,,,,,,,,
Koeberg Road,06:28,07:25,08:13,09:25,10:13,11:23,12:13,13:23,,,,,,,,,,
Salt River,06:31,07:28,08:16,09:28,10:16,11:26,12:16,13:26,,,,,,,,,,
Woodstock,06:35,07:32,08:20,09:32,10:20,11:30,12:20,13:30,,,,,,,,,,
Cape Town,06:40,07:37,08:25,09:37,10:25,11:35,12:25,13:35,07:50,08:14,10:04,11:54,13:56,,,,,
