,2501,2301,2503,2303,2505,2305,2507,2307,2801,2803,2805,2807,2661,3501,3503,3505,3507,3509
Cape Town,,,,,,,,,,,,,,,,,,
Woodstock,05:13,06:08,07:03,08:13,09:03,10:23,11:08,12:13,,,,,,,,,,
Salt River,05:17,06:12,07:07,08:17,09:07,10:27,11:12,12:17,,,,,,,,,,
Koeberg Road,05:20,06:15,07:10,08:20,09:10,10:30,11:15,12:20,,,,,,,,,,
Maitland,05:23,06:18,07:13,08:23,09:13,10:33,11:18,12:23,,,,,,,,,,
Mutual,05:28,06:23,07:18,08:28,09:18,10:38,11:23,12:28,,,,,,,,,,
Thornton,05:31,06:26,07:21,08:31,09:21,10:41,11:26,12:31,,,,,,,,,,
Goodwood,05:36,06:31,07:26,08:36,09:26,10:46,11:31,12:36,,,,,,,,,,
Vasco,05:43,06:38,07:33,08:43,09:33,10:53,11:38,12:43,,,,,,,,,,
Elsies River,05:46,06:41,07:36,08:46,09:36,10:56,11:41,12:46,,,,,,,,,,
Parow,05:50,06:45,07:40,08:50,09:40,11:00,11:45,12:50,,,,,,,,,,
Tygerberg,05:55,06:50,07:45,08:55,09:45,11:05,11:50,12:55,,,,,,,,,,
Bellville,06:01,06:56,07:51,09:01,09:51,11:11,11:56,13:01,06:49,09:09,10:59,12:49,14:31,,,,,
Kuils River,,07:07,,09:12,,11:22,,13:12,,,,,,,,,,
Blackheath,,07:17,,09:22,,11:32,,13:22,,,,,,,,,,
Meltonrose,,07:23,,09:28,,11:38,,13:28,,,,,,,,,,
Eerste River,,07:31,,09:36,,11:46,,13:36,,,,,,,,,,
Somerset West,,,,,,,,,,,,,,,,,,
Van Der Stel,,,,,,,,,,,,,,,,,,
Strand,,,,,,,,,,,,,,,,,,
Lynedoch,,,,,,,,,,,,,,,,,,
Vlottenburg,,,,,,,,,,,,,,,,,,
Stellenbosch,,,,,,,,,,,,,,,,,,
Stikland,06:10,,08:00,,10:00,,12:05,,,,,,14:40,04:59,07:14,09:29,11:29,13:21
Brackenfell,06:18,,08:08,,10:08,,12:13,,,,,,14:48,05:07,07:22,09:37,11:37,13:29
Eikenfontein,06:23,,08:13,,10:13,,12:18,,,,,,14:53,05:12,07:27,09:42,11:42,13:34
Kraaifontein,06:26,,08:16,,10:16,,12:21,,,,,,14:56,05:15,07:30,09:45,11:45,13:37
Muldersvlei,,,,,,,,,,,,,,05:27,07:42,09:57,11:57,13:49
Klapmuts,,,,,,,,,,,,,,05:42,07:57,10:12,12:12,14:04
Paarl,,,,,,,,,,,,,,05:56,08:11,10:26,12:26,14:18
Huguenot,,,,,,,,,,,,,,06:05,08:20,10:35,12:35,14:27
Dal Josafat,,,,,,,,,,,,,,06:13,08:28,10:43,12:43,14:35
Mbekweni,,,,,,,,,,,,,,06:22,08:37,10:52,12:52,14:44
Wellington,,,,,,,,,,,,,,06:36,08:51,11:06,13:06,14:58
