,100,102,104,106,108,110,112,114,116,118,120
Fish Hoek,,,,,,,,,,,
Kalk Bay,04:49,05:59,06:39,07:19,07:59,08:39,09:19,10:19,11:19,12:19,13:34
St James,04:51,06:01,06:41,07:21,08:01,08:41,09:21,10:21,11:21,12:21,13:36
Muizenberg,04:54,06:04,06:44,07:24,08:04,08:44,09:24,10:24,11:24,12:24,13:39
False Bay,04:56,06:06,06:46,07:26,08:06,08:46,09:26,10:26,11:26,12:26,13:41
Lakeside,04:58,06:08,06:48,07:28,08:08,08:48,09:28,10:28,11:28,12:28,13:43
Steenberg,05:00,06:10,06:50,07:30,08:10,08:50,09:30,10:30,11:30,12:30,13:45
Retreat,05:03,06:13,06:53,07:33,08:13,08:53,09:33,10:33,11:33,12:33,13:48
Heathfield,05:06,06:16,06:56,07:36,08:16,08:56,09:36,10:36,11:36,12:36,13:51
Dieprivier,05:09,06:19,06:59,07:39,08:19,08:59,09:39,10:39,11:39,12:39,13:54
Steurhof,05:12,06:22,07:02,07:42,08:22,09:02,09:42,10:42,11:42,12:42,13:57
Plumstead,05:14,06:24,07:04,07:44,08:24,09:04,09:44,10:44,11:44,12:44,13:59
Wittebome,05:16,06:26,07:06,07:46,08:26,09:06,09:46,10:46,11:46,12:46,14:01
Wynberg,05:18,06:28,07:08,07:48,08:28,09:08,09:48,10:48,11:48,12:48,14:03
Kenilworth,05:20,06:30,07:10,07:50,08:30,09:10,09:50,10:50,11:50,12:50,14:05
Harfield Rd,05:22,06:32,07:12,07:52,08:32,09:12,09:52,10:52,11:52,12:52,14:07
Claremont,05:24,06:34,07:14,07:54,08:34,09:14,09:54,10:54,11:54,12:54,14:09
Newlands,05:26,06:36,07:16,07:56,08:36,09:16,09:56,10:56,11:56,12:56,14:11
Rondebosch,05:28,06:38,07:18,07:58,08:38,09:18,09:58,10:58,11:58,12:58,14:13
Rosebank,05:30,06:40,07:20,08:00,08:40,09:20,10:00,11:00,12:00,13:00,14:15
Mowbray,05:32,06:42,07:22,08:02,08:42,09:22,10:02,11:02,12:02,13:02,14:17
Observatory,05:34,06:44,07:24,08:04,08:44,09:24,10:04,11:04,12:04,13:04,14:19
Salt River,05:37,06:47,07:27,08:07,08:47,09:27,10:07,11:07,12:07,13:07,14:22
Woodstock,05:45,06:55,07:35,08:15,08:55,09:35,10:15,11:15,12:15,13:15,14:30
Cape Town,05:48,06:58,07:38,08:18,08:58,09:38,10:18,11:18,12:18,13:18,14:33
